"entity_name","entity_id","team_name","year","runner_runs","fielder_runs","runner_runs_advances","runner_runs_thrown_out","runner_runs_hold","fielder_runs_advances","fielder_runs_thrown_out","fielder_runs_hold","n_opp_xb","n_att_xb","rate_att_xb","est_rate_att_generic_runner","est_rate_att_generic_fielder","n_out","n_safe","rate_safe","rate_safe_per_attempt"
"Flores Jr., Rafael",804668,"PIT",2025,-0.38986674288741513,0.32962966696206386,0.0036453738452691137,0,-0.3935121167326842,-0.0035947394877720263,0,0.33322440644983586,6,2,0.33333333333333337,0.6313108956959315,0.696877297434776,0,2,0.33333333333333337,1
"Davis, Henry",680779,"PIT",2025,-0.2748834340566331,0.34228025716463073,0.6983810770875306,0,-0.9732645111441636,-0.6636982864167031,0,1.005978543581334,49,16,0.32653061224489804,0.38322110518243035,0.38789150365075686,0,16,0.32653061224489804,1
"Suwinski, Jack",669261,"PIT",2025,0.37596946590634334,-0.1282668089087738,0.7314538643786637,0,-0.3554843984723202,-0.5693763476421192,0,0.44110953873334535,20,8,0.4,0.367472340131372,0.4178657274133024,0,8,0.4,1
"Cruz, Oneil",665833,"PIT",2025,0.9752916940166703,0.45037591633496277,2.9639476195128487,-0.7856453955936968,-1.2030105299024818,-2.2250399758194903,0.8556749000834589,1.8197409920709946,91,38,0.41758241758241765,0.3716227392672759,0.4383887276521999,1,37,0.4065934065934067,0.9736842105263158
"Gorski, Matt",685301,"PIT",2025,0.15158154981424637,-0.08098580046233662,0.1721442821550109,0,-0.02056273234076452,-0.12224936657686185,0,0.041263566114525224,2,1,0.5,0.231096932096924,0.3772543509583081,0,1,0.5,1
"Pham, Tommy",502054,"PIT",2025,-3.1793750044047413,3.52419017749056,1.146235198922248,-2.564189931570279,-1.7614202717567078,-0.9857608189216082,2.5764200844791953,1.933530911932973,81,26,0.32098765432098764,0.3691904797041548,0.3857157732673805,3,23,0.2839506172839506,0.8846153846153846
"Horwitz, Spencer",687462,"PIT",2025,0.7682425602120834,-3.9127438917564716,2.5271037535149965,0,-1.7588611933029124,-4.45373728791315,0,0.5409933961566765,105,38,0.3619047619047619,0.3814252512972203,0.25792162687027986,0,38,0.3619047619047619,1
"Hayes, Ke'Bryan",663647,"PIT",2025,0.7247037881636209,-1.106206305042026,1.9426219257646717,0,-1.2179181376010508,-2.085949434295399,0,0.9797431292533724,75,29,0.3866666666666667,0.38382221844069325,0.3608880100129943,0,29,0.3866666666666667,1
"Triolo, Jared",669707,"PIT",2025,0.928737548252348,-0.16187955915128402,1.9106870676301153,0,-0.9819495193777685,-1.5369463512693133,0,1.37506679211803,80,31,0.38750000000000007,0.3820541334765103,0.42058796599382936,0,31,0.38750000000000007,1
"Bart, Joey",663698,"PIT",2025,-1.1604450412767153,0.5052327628329318,1.2971832614717012,-0.7489853647061683,-1.7086429380422483,-1.5914750577279806,0.7471455986143208,1.3495622219465915,72,21,0.2916666666666668,0.33762353237120585,0.2959363460907372,1,20,0.27777777777777785,0.9523809523809523
"McCutchen, Andrew",457705,"PIT",2025,-3.1161747632666827,3.9493401252902793,1.085729280051673,-0.9313883795555647,-3.2705156637627915,-0.8617859841229136,0.9604056500845268,3.8507204593286657,108,22,0.20370370370370378,0.3235771177347204,0.35544339534036956,1,21,0.19444444444444453,0.9545454545454546
"Reynolds, Bryan",668804,"PIT",2025,1.6974097660907437,-1.0149576235670554,3.320929392024837,0,-1.623519625934093,-3.0543457845756445,0,2.039388161008588,143,53,0.3706293706293706,0.3658834450020331,0.385465590175148,0,53,0.3706293706293706,1
"Valdez, Enmanuel",665839,"PIT",2025,-0.791689144127497,0.44276084697708007,0.33361501316684955,-0.8714358932696136,-0.253868264024733,-0.5142675783790771,0.796377497038433,0.1606509283177242,14,6,0.42857142857142855,0.4381092333737525,0.3436367118536521,1,5,0.3571428571428571,0.8333333333333334
"Kiner-Falefa, Isiah",643396,"PIT",2025,0.6411774737740017,-0.17822429156130357,2.1786055183017288,-0.7632513164567787,-0.7741767280709484,-1.931852701548865,0.8207207684041209,0.9329076415834405,90,32,0.3555555555555556,0.32371167551491,0.3453864831920899,1,31,0.3444444444444445,0.96875
"Devanney, Cam",687478,"PIT",2025,-0.016947063610180196,0.010036630189091435,0,0,-0.016947063610180196,0,0,0.010036630189091435,4,0,0,0.02877004193212008,0.026081513562468343,0,0,0,
"Yorke, Nick",694377,"PIT",2025,0.4305266144081068,-0.37285960371964844,0.4614590056841109,0,-0.03093239127600411,-0.40777985006850076,0,0.03492024634885232,13,5,0.38461538461538464,0.3057566471780574,0.3301068312995587,0,5,0.38461538461538464,1
"Peguero, Liover",678894,"PIT",2025,0.075200492680361,0.05146358235473234,0.11040944358447244,0,-0.03520895090411143,-0.045242627920815605,0,0.09670621027554796,9,2,0.22222222222222227,0.2500959003228543,0.31679223919493915,0,2,0.22222222222222227,1
"Sullivan, Brett",664954,"PIT",2025,0.23433527850691713,-0.23101093925804006,0.23433527850691713,0,0,-0.23101093925804006,0,0,1,1,1,0.0822808235566247,0.0994160356444861,0,1,1,1
"Simon, Ronny",682927,"PIT",2025,0.40883875446271456,-0.2954068728056014,0.42183206430289766,0,-0.012993309840183133,-0.33652320994049967,0,0.04111633713489826,6,2,0.33333333333333337,0.0935542033243371,0.18778433440068698,0,2,0.33333333333333337,1
"Rodríguez, Endy",682848,"PIT",2025,-0.6930469884890064,0.7394255102832943,0.36010135497225104,-0.8589579542191482,-0.19419038924210913,-0.3248221922608464,0.8680083335531616,0.1962393689909791,11,6,0.5454545454545454,0.48031824548781926,0.49632080967105363,1,5,0.45454545454545453,0.8333333333333334
"Frazier, Adam",624428,"PIT",2025,-0.8931262172775641,0.6079173309810266,1.6663925121607894,-1.672247310497518,-0.8872714189408353,-1.8597216221237922,1.6545113169477939,0.8131276361570252,59,21,0.3559322033898304,0.3213922114314155,0.30047137832181536,2,19,0.32203389830508483,0.9047619047619048
"Gonzales, Nick",693304,"PIT",2025,1.0076501907562452,0.1252751373812733,1.9478003791912066,0,-0.9401501884349611,-1.4292407770546691,0,1.5545159144359426,78,27,0.34615384615384615,0.32861935207326837,0.3889458170454762,0,27,0.34615384615384615,1
"Canario, Alexander",672744,"PIT",2025,-2.2801193719450064,2.2799201209946287,0.6370137353675781,-2.4100969346200145,-0.5070361726925694,-0.623834382715328,2.4254722428980573,0.4782822608118984,43,14,0.3255813953488373,0.2929589749761135,0.29168128061553694,3,11,0.25581395348837216,0.7857142857142857
"Bae, Ji Hwan",678225,"PIT",2025,0.11205077914879402,-0.09671763438293204,0.11205077914879402,0,0,-0.09671763438293204,0,0,1,1,1,0.677447439492481,0.7289568458439093,0,1,1,1
"Cook, Billy",695257,"PIT",2025,-0.23740248134371764,0.3074129474916384,0,0,-0.23740248134371764,0,0,0.3074129474916384,3,0,0,0.4077377504515097,0.49712372846154357,0,0,0,
