player_name,uvi_score,type,sprint_speed,bolts,outs_above_average,runner_runs,baserunning_adj,speed_hustle_adj,fielding_adj,complete_uvi
Paul Skenes,186.940625,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,186.940625
Mitch Keller,160.25625,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,160.25625
Bubba Chandler,155.4,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,155.4
Mike Burrows,151.6695652173913,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,151.6695652173913
Bailey Falter,147.76363636363638,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,147.76363636363638
Johan Oviedo,145.47777777777776,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,145.47777777777776
Andrew Heaney,144.73076923076923,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,144.73076923076923
Braxton Ashcraft,141.5346153846154,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,141.5346153846154
Ke'Bryan Hayes,88.84242424242424,Hitter,27.2,0.0,15.0,0.7247037881636209,7.247037881636209,0,45.0,141.08946212406045
Hunter Barco,133.35,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,133.35
Carmen Mlodzinski,132.83235294117648,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,132.83235294117648
Jared Triolo,97.5,Pitcher,28.8,0.0-6.0,0.928737548252348,9.28737548252348,3,180,127.78737548252349
Michael Darrell-Hicks,126.0,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,126.0
Thomas Harrington,123.96666666666665,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,123.96666666666665
Justin Lawrence,120.10588235294118,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,120.10588235294118
Jared Triolo,89.288,Hitter,28.8,0.0,6.0,0.928737548252348,9.28737548252348,3,18.0,119.57537548252347
Yohan Ramírez,119.17916666666667,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,119.17916666666667
Tim Mayza,118.27142857142857,Pitcher,27.0,0.0,0.0,0.0,0.0,0,0.0,118.27142857142857
De
