player_name,team_tag,batting_uvi,speed_bonus,hustle_bonus,defense_bonus,burst_bonus,complete_uvi,sprint_speed,bolts,oaa,frp,ppp,total_pitches,games,batted_balls
Martín Maldonado,SD,55.8,-8.4,-0.0,0.0,1.1,48.5,23.1,0.0,0.0,0.0,0.0016083134851138357,571,61,95
Donovan Solano,SEA,62.1,-4.6,-0.0,1.5,0.7,59.7,25.0,0.0,1.0,1.0,0.0023451669064748185,695,65,126
Donovan Solano,TEX,-150.3,-4.6,2.9,1.5,0.7,-149.8,25.0,0.0,1.0,1.0,-0.051927777777777774,9,1,1
Andrew Mccutchen,PIT,94.8,-0.4,0.0,1.5,0.2,96.1,27.1,0.0,1.0,1.0,0.010660690861390468,2287,135,361
Justin Turner,CHC,58.2,-4.0,-0.0,1.5,0.5,56.2,25.3,0.0,2.0,1.0,0.0032327253164556964,790,75,134
Carlos Santana,CHC,34.3,-3.4,0.0,9.0,0.5,40.4,25.6,0.0,8.0,6.0,-0.003060413793103456,87,8,14
Carlos Santana,CLE,111.6,-3.4,-0.0,9.0,0.5,117.7,25.6,0.0,8.0,6.0,0.01611859272918862,1898,114,312
Yuli Gurriel,SD,2.8,-1.0,-0.0,0.0,0.0,1.8,26.8,0.0,0.0,0.0,-0.011372155405405404,148,16,28
Miguel Rojas,LAD,113.3,-2.8,0.0,6.0,0.4,116.9,25.9,0.0,6.0,4.0,0.016834030782761657,1137,106,241
Tommy Pham,PIT,117.4,-0.2,0.0,-3.0,0.2,114.4,27.2,0.0,-2.0,-2.0,0.016068386588921284,1715,115,298
Paul Goldschmidt,NYY,89.7,-2.4,-0.0,-3.0,0.2,84.5,26.1,0.0,-3.0,-2.0,0.011494700331910858,2109,139,387
Sandy León,ATL,-17.6,0.0,0.0,0.0,0.0,-17.6,,0.0,0.0,0.0,-0.01660073170731707,41,4,8
José Altuve,HOU,128.4,-0.8,0.0,-6.0,-0.1,121.5,26.9,20.0,-5.0,-4.0,0.021016646101113968,2334,155,482
Starling Marte,NYM,84.6,-1.4,-0.0,0.0,0.0,83.2,26.6,0.0,0.0,0.0,0.009075940286624206,1256,96,229
Travis D'Arnaud,LAA,134.8,-2.0,-0.0,0.0,0.6,133.4,26.3,0.0,0.0,0.0,0.021269609392898053,873,67,140
Freddie Freeman,LAD,161.2,-3.4,-0.0,-4.5,0.3,153.6,25.6,0.0,-5.0,-3.0,0.029045954715413377,2407,147,430
Jason Heyward,SD,10.7,-0.2,0.0,0.0,-0.0,10.5,27.2,0.0,0.0,0.0,-0.00945451585014409,347,31,68
