"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Abreu, Wilyer","677800","Red Sox","2025","RF","7",8,3,6,-3,2,8,0,"89%","86%","3%"
"Anthony, Roman","701350","Red Sox","2025","RF","5",6,0,4,1,0,4,2,"94%","88%","6%"
"Bregman, Alex","608324","Red Sox","2025","3B","2",3,7,1,-4,-1,2,1,"71%","70%","1%"
"Campbell, Kristian","692225","Red Sox","2025","2B","-7",-9,-3,-6,1,-1,-4,-5,"72%","76%","-4%"
"Casas, Triston","671213","Red Sox","2025","1B","-2",-3,-1,-3,1,0,-1,-2,"64%","68%","-4%"
"Duran, Jarren","680776","Red Sox","2025","LF","-3",-4,-4,3,-1,-1,0,-3,"85%","86%","-1%"
"Eaton, Nate","681987","Red Sox","2025","RF","-2",-2,0,-1,0,0,-1,-1,"73%","77%","-4%"
"Gonzalez, Romy","663853","Red Sox","2025","2B","-2",-2,-2,-4,4,0,-3,0,"73%","74%","-1%"
"Hamilton, David","666152","Red Sox","2025","2B","1",1,-1,1,1,1,4,-2,"80%","80%","0%"
"Lowe, Nathaniel","663993","Red Sox","2025","1B","0",0,1,-1,0,0,-1,1,"66%","66%","0%"
"Mayer, Marcelo","691785","Red Sox","2025","3B","2",3,1,2,0,0,1,2,"73%","71%","2%"
"Rafaela, Ceddanne","678882","Red Sox","2025","CF","19",21,4,7,9,1,15,6,"90%","85%","5%"
"Refsnyder, Rob","608701","Red Sox","2025","RF","-1",-1,-1,0,-1,0,0,-1,"86%","88%","-2%"
"Sogard, Nick","686765","Red Sox","2025","1B","0",0,0,-1,0,1,0,0,"71%","72%","-1%"
"Story, Trevor","596115","Red Sox","2025","SS","-7",-9,-2,-6,0,-1,-5,-4,"73%","75%","-2%"
"Toro, Abraham","647351","Red Sox","2025","1B","-3",-4,-1,-3,1,0,-1,-2,"69%","71%","-2%"
