"last_name, first_name","player_id","display_team_name","year","primary_pos_formatted","fielding_runs_prevented","outs_above_average","outs_above_average_infront","outs_above_average_lateral_toward3bline","outs_above_average_lateral_toward1bline","outs_above_average_behind","outs_above_average_rhh","outs_above_average_lhh","actual_success_rate_formatted","adj_estimated_success_rate_formatted","diff_success_rate_formatted"
"Bae, Ji Hwan","678225","Pirates","2025","CF","0",0,0,0,0,0,0,0,"85%","83%","2%"
"Canario, Alexander","672744","Pirates","2025","LF","-2",-2,0,0,-1,-1,-2,0,"86%","87%","-1%"
"Cruz, Oneil","665833","Pirates","2025","CF","0",0,-1,2,-1,-1,-1,1,"87%","87%","0%"
"Devanney, Cam","687478","Pirates","2025","3B","0",-1,-1,0,0,0,0,-1,"69%","71%","-2%"
"Frazier, Adam","624428","Pirates","2025","2B","0",0,-1,-1,2,0,2,-1,"79%","79%","0%"
"Gonzales, Nick","693304","Pirates","2025","2B","3",4,0,3,-2,3,3,1,"73%","71%","2%"
"Gorski, Matt","685301","Pirates","2025","1B","-1",-2,-1,-1,1,0,-1,-1,"69%","74%","-5%"
"Hayes, Ke'Bryan","663647","Pirates","2025","3B","11",15,4,9,3,-1,11,3,"73%","69%","4%"
"Horwitz, Spencer","687462","Pirates","2025","1B","1",1,1,-2,1,1,2,-1,"75%","74%","1%"
"Kiner-Falefa, Isiah","643396","Pirates","2025","SS","1",1,-2,-1,3,1,2,-1,"76%","76%","0%"
"McCutchen, Andrew","457705","Pirates","2025","RF","1",1,0,1,0,0,0,1,"100%","90%","10%"
"Peguero, Liover","678894","Pirates","2025","SS","0",-1,-1,0,0,0,-2,1,"78%","79%","-1%"
"Pham, Tommy","502054","Pirates","2025","LF","-2",-2,0,-1,-1,1,-2,0,"86%","87%","-1%"
"Reynolds, Bryan","668804","Pirates","2025","RF","-2",-2,2,-6,0,1,0,-3,"86%","87%","-1%"
"Rodríguez, Endy","682848","Pirates","2025","1B","-1",-1,1,-1,-1,-1,-1,0,"79%","84%","-5%"
"Solak, Nick","669256","Pirates","2025","1B","-1",-1,0,-1,0,0,0,-1,"57%","68%","-11%"
"Suwinski, Jack","669261","Pirates","2025","CF","-2",-2,-1,-1,-1,0,-4,2,"88%","89%","-1%"
"Triolo, Jared","669707","Pirates","2025","SS","5",6,3,-1,3,2,6,0,"77%","75%","2%"
"Valdez, Enmanuel","665839","Pirates","2025","1B","2",2,0,1,1,0,1,2,"77%","73%","4%"
"Yorke, Nick","694377","Pirates","2025","2B","0",0,0,0,2,-1,-1,1,"78%","78%","0%"
