player_name,uvi_score
Braxton Ashcraft,197.59
Hunter Barco,105.87
David Bednar,153.16
Ryan Borucki,134.01999999999998
Mike Burrows,205.64000000000001
Génesis Cabrera,111.54
Bubba Chandler,133.38
Michael Darrell-Hicks,102.0
Bailey Falter,190.48
Caleb Ferguson,162.15
Thomas Harrington,105.78999999999999
Andrew Heaney,199.3
Colin Holderman,116.88
Mitch Keller,266.82
Justin Lawrence,131.98
Isaac Mattson,162.13
Tim Mayza,111.19
Carmen Mlodzinski,195.82999999999998
Dauri Moreta,115.41
Kyle Nicolas,131.56
Johan Oviedo,135.13
Tanner Rainey,102.62
Yohan Ramírez,141.23000000000002
Cam Sanders,104.76
Dennis Santana,215.02
Chase Shugart,138.25
Evan Sisk,108.32
Paul Skenes,344.61
Hunter Stratton,102.9
Jared Triolo,99.55
Joey Wentz,127.45
