player_name,team_tag,game_date,game_pk,outs,k,bb,hbp,h,hr,r,bf,ip,ip_dec,pitches,velo,strikes,str_pct
A.J. Minter,NYM,2025-03-28,778518,3,1,1,0,0,0,0,4,1.0,1.0,19,91.6,8,42.1
A.J. Minter,NYM,2025-04-02,778481,2,1,0,0,2,0,1,4,0.2,0.67,15,90.2,6,40.0
A.J. Minter,NYM,2025-04-04,778465,3,3,0,0,1,0,0,4,1.0,1.0,19,88.8,10,52.6
A.J. Minter,NYM,2025-04-06,778435,3,2,0,0,1,0,0,4,1.0,1.0,19,91.7,11,57.9
A.J. Minter,NYM,2025-04-08,778407,2,1,0,0,0,0,0,2,0.2,0.67,11,90.4,5,45.5
A.J. Minter,NYM,2025-04-11,778358,3,1,0,0,0,0,0,3,1.0,1.0,11,90.9,6,54.5
A.J. Minter,NYM,2025-04-13,778333,3,1,0,0,1,0,0,4,1.0,1.0,14,93.1,7,50.0
A.J. Minter,NYM,2025-04-16,778299,3,2,0,0,0,0,0,3,1.0,1.0,15,91.0,10,66.7
A.J. Minter,NYM,2025-04-17,778278,3,0,0,0,0,0,0,3,1.0,1.0,9,93.0,3,33.3
A.J. Minter,NYM,2025-04-19,778256,3,0,3,0,0,0,0,6,1.0,1.0,21,91.3,5,23.8
A.J. Minter,NYM,2025-04-22,778223,3,1,0,0,0,0,0,3,1.0,1.0,14,91.7,7,50.0
A.J. Minter,NYM,2025-04-25,778183,1,0,0,0,1,0,1,2,0.1,0.33,10,90.6,3,30.0
A.J. Minter,NYM,2025-04-26,778173,1,1,0,0,0,0,0,1,0.1,0.33,9,93.9,4,44.4
A.J. Puk,AZ,2025-03-30,778515,3,2,1,0,1,0,0,5,1.0,1.0,28,92.1,15,53.6
A.J. Puk,AZ,2025-04-01,778492,3,2,0,0,1,1,1,4,1.0,1.0,15,93.4,8,53.3
A.J. Puk,AZ,2025-04-02,778484,3,1,0,0,1,1,3,4,1.0,1.0,14,89.6,6,42.9
A.J. Puk,AZ,2025-04-04,778457,3,1,0,0,1,0,0,4,1.0,1.0,21,91.6,11,52.4
A.J. Puk,AZ,2025-04-08,778396,3,1,0,0,1,0,0,4,1.0,1.0,18,92.6,10,55.6
A.J. Puk,AZ,2025-04-13,778332,3,3,1,1,0,0,0,5,1.0,1.0,24,93.2,15,62.5
A.J. Puk,AZ,2025-04-16,778303,3,1,0,0,2,0,1,5,1.0,1.0,15,91.9,8,53.3
A.J. Puk,AZ,2025-04-17,778291,3,1,0,0,1,0,0,4,1.0,1.0,21,94.2,13,61.9
AJ Blubaugh,HOU,2025-04-30,778110,12,6,1,0,5,2,7,19,4.0,4.0,84,87.2,39,46.4
AJ Blubaugh,HOU,2025-08-05,776862,15,5,1,0,3,2,2,19,5.0,5.0,70,90.9,34,48.6
AJ Blubaugh,HOU,2025-08-23,776629,12,4,1,0,3,2,2,16,4.0,4.0,64,89.6,29,45.3
AJ Blubaugh,HOU,2025-08-31,776510,3,1,0,0,0,0,0,3,1.0,1.0,14,93.2,6,42.9
AJ Blubaugh,HOU,2025-09-02,776489,3,2,0,0,1,0,0,4,1.0,1.0,20,89.6,10,50.0
AJ Blubaugh,HOU,2025-09-05,776449,8,3,2,0,1,0,0,11,2.1,2.67,43,89.7,21,48.8
AJ Blubaugh,HOU,2025-09-09,776393,10,4,2,0,0,0,0,12,3.1,3.33,40,90.3,22,55.0
AJ Blubaugh,HOU,2025-09-12,776360,3,0,0,0,1,0,0,4,1.0,1.0,19,89.9,8,42.1
AJ Blubaugh,HOU,2025-09-16,776301,9,7,1,0,2,0,0,12,3.0,3.0,50,90.3,29,58.0
AJ Blubaugh,HOU,2025-09-21,776228,9,1,0,0,0,0,0,9,3.0,3.0,34,88.9,15,44.1
AJ Blubaugh,HOU,2025-09-27,776155,11,2,4,0,1,0,0,16,3.1,3.67,70,90.1,25,35.7
AJ Smith-Shawver,ATL,2025-03-30,778514,12,4,3,0,6,0,2,21,4.0,4.0,77,86.4,28,36.4
AJ Smith-Shawver,ATL,2025-04-05,778451,13,6,3,0,7,1,3,23,4.0,4.33,82,85.6,37,45.1
AJ Smith-Shawver,ATL,2025-04-12,778353,13,7,2,0,6,1,2,21,4.0,4.33,91,87.7,43,47.3
AJ Smith-Shawver,ATL,2025-04-29,778120,16,5,1,0,4,1,1,21,5.0,5.33,59,87.4,31,52.5
AJ Smith-Shawver,ATL,2025-05-05,778049,23,5,4,0,1,0,0,28,7.2,7.67,99,89.1,41,41.4
AJ Smith-Shawver,ATL,2025-05-10,777985,17,7,2,0,5,0,1,24,5.2,5.67,97,88.6,44,45.4
AJ Smith-Shawver,ATL,2025-05-15,777909,17,6,2,1,2,0,1,23,5.2,5.67,86,90.8,44,51.2
AJ Smith-Shawver,ATL,2025-05-22,777820,9,1,2,0,8,0,5,19,3.0,3.0,82,88.9,36,43.9
AJ Smith-Shawver,ATL,2025-05-29,777735,7,1,1,0,3,1,2,11,2.1,2.33,38,89.9,18,47.4
Aaron Ashby,MIL,2025-05-24,777794,3,2,0,0,1,0,0,4,1.0,1.0,14,88.1,7,50.0
Aaron Ashby,MIL,2025-05-27,777747,6,2,1,0,1,0,0,8,2.0,2.0,37,87.2,15,40.5
Aaron Ashby,MIL,2025-06-06,777617,3,3,0,0,0,0,0,3,1.0,1.0,13,89.8,10,76.9
Aaron Ashby,MIL,2025-06-08,777586,6,1,0,0,1,0,0,7,2.0,2.0,25,87.9,11,44.0
Aaron Ashby,MIL,2025-06-12,777532,7,1,0,1,3,0,0,11,2.1,2.33,33,89.1,11,33.3
Aaron Ashby,MIL,2025-06-19,777450,5,1,0,0,3,1,2,8,1.2,1.67,27,88.7,9,33.3
Aaron Ashby,MIL,2025-06-21,777412,5,2,0,0,1,0,0,6,1.2,1.67,22,87.8,11,50.0
Aaron Ashby,MIL,2025-06-23,777391,8,6,1,0,3,0,0,12,2.1,2.67,52,90.8,27,51.9
Aaron Ashby,MIL,2025-06-28,777321,2,0,2,0,0,0,0,4,0.2,0.67,18,90.1,7,38.9
Aaron Ashby,MIL,2025-07-02,777276,1,1,0,1,0,0,0,2,0.1,0.33,10,92.3,5,50.0
Aaron Ashby,MIL,2025-07-04,777254,7,3,0,0,0,0,0,7,2.1,2.33,32,89.0,17,53.1
Aaron Ashby,MIL,2025-07-07,777201,6,3,1,1,2,0,1,10,2.0,2.0,39,91.4,20,51.3
Aaron Ashby,MIL,2025-07-09,777175,1,1,2,0,1,0,0,4,0.1,0.33,21,93.4,10,47.6
Aaron Ashby,MIL,2025-07-19,777085,4,2,0,0,3,0,1,7,1.0,1.33,16,92.2,7,43.8
Aaron Ashby,MIL,2025-07-21,777050,5,1,1,0,3,0,0,9,1.2,1.67,34,91.4,13,38.2
Aaron Ashby,MIL,2025-07-25,777008,4,1,1,0,2,0,0,7,1.0,1.33,25,91.9,9,36.0
Aaron Ashby,MIL,2025-07-27,776978,1,1,2,0,0,0,0,4,0.1,0.33,19,91.4,9,47.4
Aaron Ashby,MIL,2025-07-29,776956,10,2,1,0,1,0,1,12,3.1,3.33,42,93.0,17,40.5
Aaron Ashby,MIL,2025-08-01,776917,4,0,0,0,1,0,0,5,1.0,1.33,16,93.5,5,31.2
Aaron Ashby,MIL,2025-08-03,776894,5,3,0,0,1,0,0,6,1.2,1.67,23,94.3,14,60.9
Aaron Ashby,MIL,2025-08-05,776869,6,2,3,0,1,0,1,10,2.0,2.0,38,93.0,13,34.2
Aaron Ashby,MIL,2025-08-09,776817,4,1,0,0,2,1,2,6,1.0,1.33,20,93.8,9,45.0
Aaron Ashby,MIL,2025-08-12,776771,3,1,0,0,0,0,0,3,1.0,1.0,9,94.9,4,44.4
Aaron Ashby,MIL,2025-08-15,776740,3,2,0,0,0,0,0,3,1.0,1.0,18,92.2,10,55.6
Aaron Ashby,MIL,2025-08-16,776721,2,2,0,0,0,0,0,2,0.2,0.67,10,89.8,7,70.0
Aaron Ashby,MIL,2025-08-19,776676,11,3,0,0,4,0,2,16,3.1,3.67,50,93.6,22,44.0
Aaron Ashby,MIL,2025-08-22,776634,5,1,1,0,1,1,1,7,1.2,1.67,23,93.6,9,39.1
Aaron Ashby,MIL,2025-08-25,776593,5,5,1,0,1,0,0,7,1.2,1.67,36,90.9,22,61.1
Aaron Ashby,MIL,2025-08-27,776572,6,3,0,0,0,0,0,6,2.0,2.0,28,90.7,16,57.1
Aaron Ashby,MIL,2025-08-29,776546,2,1,1,1,2,0,2,6,0.2,0.67,26,92.1,10,38.5
Aaron Ashby,MIL,2025-08-30,776527,1,0,0,0,0,0,0,1,0.1,0.33,3,90.4,1,33.3
Aaron Ashby,MIL,2025-09-01,776500,2,1,0,0,0,0,0,2,0.2,0.67,9,90.9,4,44.4
Aaron Ashby,MIL,2025-09-03,776471,2,1,1,0,1,0,0,4,0.2,0.67,17,92.6,8,47.1
Aaron Ashby,MIL,2025-09-04,776459,3,1,1,0,0,0,0,4,1.0,1.0,14,95.1,6,42.9
Aaron Ashby,MIL,2025-09-06,776441,4,2,1,0,1,0,1,6,1.0,1.33,20,93.1,10,50.0
Aaron Ashby,MIL,2025-09-09,776395,5,2,0,0,4,0,2,9,1.2,1.67,32,91.5,15,46.9
Aaron Ashby,MIL,2025-09-12,776356,4,0,1,0,3,0,1,8,1.0,1.33,31,91.5,9,29.0
Aaron Ashby,MIL,2025-09-14,776326,4,3,1,0,1,0,0,6,1.0,1.33,31,95.0,19,61.3
Aaron Ashby,MIL,2025-09-18,776274,4,3,0,0,2,0,0,6,1.0,1.33,14,91.4,10,71.4
Aaron Ashby,MIL,2025-09-20,776244,8,1,0,0,4,0,1,12,2.1,2.67,39,93.9,17,43.6
Aaron Ashby,MIL,2025-09-22,776222,3,2,0,0,0,0,0,3,1.0,1.0,16,91.6,8,50.0
Aaron Ashby,MIL,2025-09-24,776198,1,1,0,0,0,0,0,1,0.1,0.33,5,90.0,4,80.0
Aaron Ashby,MIL,2025-09-28,776144,6,2,1,0,0,0,0,7,2.0,2.0,26,93.8,11,42.3
Aaron Bummer,ATL,2025-03-27,778545,3,0,1,0,1,0,3,5,1.0,1.0,23,84.3,7,30.4
