player_name,team_tag,season_uvi,ppp,total_pitches,games
Andrew Abbott,CIN,137.3,-0.010559927157265595,2677,29
Mick Abel,MIN,61.0,-0.02505675939849624,266,4
Mick Abel,PHI,49.3,-0.0280405704845815,454,6
Philip Abner,AZ,152.0,-0.005794028169014087,71,5
Bryan Abreu,HOU,151.2,-0.006275549958018472,1191,70
Garrett Acton,TB,159.3,-0.002857142857142857,21,1
Jason Adam,SD,122.3,-0.010998148587055607,1097,65
Travis Adams,MIN,51.5,-0.027069745481927716,664,18
Ty Adcock,NYM,96.6,-0.01710304878048781,82,3
Zach Agnos,COL,114.4,-0.016921356736242888,527,30
Keegan Akin,BAL,57.9,-0.025068029080675423,1066,64
Jorge Alcala,BOS,129.9,-0.012271891719745224,314,19
Jorge Alcala,MIN,52.8,-0.02680845492662474,477,22
Jorge Alcala,STL,92.0,-0.01849906642066421,271,15
Sandy Alcantara,MIA,84.6,-0.018729408572416176,2893,31
Sam Aldegheri,LAA,14.1,-0.034907842105263154,304,4
Jason Alexander,ATH,21.6,-0.03331429268292683,123,4
Jason Alexander,HOU,73.9,-0.022494500442869797,1129,14
Scott Alexander,COL,71.0,-0.024907614814814818,270,19
Scott Alexander,SF,27.8,-0.031777906976744194,43,2
Tyler Alexander,CWS,19.8,-0.03365790081799591,978,31
Tyler Alexander,MIL,84.2,-0.0204943632,625,21
Kolby Allard,CLE,142.9,-0.007417820158102766,1012,33
Logan Allen,CLE,82.3,-0.020386123479542943,2713,30
Dan Altavilla,CWS,81.7,-0.020137504385964913,456,28
Elvis Alvarado,ATH,98.1,-0.016781490221642766,767,37
José Alvarado,PHI,84.8,-0.02087875054704595,457,28
Andrew Alvarez,WSH,192.9,0.0032776985645933013,418,5
Jacob Amaya,CWS,490.6,0.06910000000000001,6,1
Grant Anderson,MIL,130.2,-0.010962300854700856,1170,66
Ian Anderson,LAA,38.0,-0.029692043478260863,207,7
Nick Anderson,COL,156.2,-0.009222248962655602,241,12
Shaun Anderson,LAA,-68.2,-0.05285498617511521,217,7
Tyler Anderson,LAA,32.2,-0.030946356991075223,2353,26
Luarbert Arias,MIA,95.0,-0.01635618357487923,207,7
Shawn Armstrong,TEX,158.3,-0.005744364937388193,1118,71
