player_name,uvi_score
Jorge Alcala,115.79
Brayan Bello,240.02
Brennan Bernardino,145.31
Walker Buehler,184.76
Nick Burdi,104.75
Isaiah Campbell,108.21
Aroldis Chapman,242.82999999999998
Cooper Criswell,116.4
Garrett Crochet,373.31
José De León,107.66
Hunter Dobbins,147.45
Connelly Early,123.63
Nate Eaton,100.2
Richard Fitts,143.21
Michael Fulmer,103.08
Lucas Giolito,239.98
Luis Guerrero,106.09
Kyle Harrison,114.3
Liam Hendriks,108.21000000000001
Jordan Hicks,106.64
Tanner Houck,130.08
Zack Kelly,151.21
Steven Matz,121.07
Dustin May,129.53
Jovani Morán,102.32
Chris Murphy,135.36
Sean Newcomb,139.66
Justin Slaten,132.73000000000002
Robert Stock,100.95
Payton Tolle,116.6
Abraham Toro,100.06
Greg Weissert,176.43
Garrett Whitlock,241.98
Justin Wilson,146.65
Josh Winckowski,114.62
